tempo,estrelas,avaliacao,Local Guide,Avaliacoes,Classificacoes,Fotos,Videos,Legendas,Respostas,Edicoes,Informadas como Incorretas,Lugares Adicionadas,Estradas Adicionadas,Informacoes Verificadas,P/R,perfil,Previsao_Fraude_RF
um ano atrás,5,"Há tempos minha filha que trabalha na região me falava do bolo crocante de Nutella. Hoje viemos experimentar e a Cakess virou minha doceria preferida em São Paulo...😍 bolo MARAVILHOSO,  diferente, sabor de qualidade no ingrediente e afeto no fazer... uma história linda de coragem, boas escolhas,  dedicação e nítida competência povoa  esse ambiente acolhedor,  confortável e de bom gosto.  Tudo valeu a pena, voltarei  muitas vezes,  sem dúvida!😋☀️🌞",False,1,0,0,0,0,3,0,0,0,0,0,0,,1
um ano atrás,5,Amo muito a Cakess! Doces incomparáveis e serviço excelente,False,7,0,0,0,0,13,0,0,0,0,0,0,,1
um ano atrás,5,"Melhores bolos de São Paulo, molhadinhos no ponto e não são enjoativo, ingredientes de qualidade! Ótimo atendimento e ambiente muito agradável! Recomendo muito",True,2,0,0,0,0,13,0,0,0,0,0,0,,1
um ano atrás,5,Muito bom e ótimo atendimento:),True,21,3,0,0,0,14,67,0,0,0,0,0,,0
um ano atrás,5,"Melhor bolo de São Paulo, lugar super aconchegante e atendimento super especial! ✨️",False,6,0,4,0,0,39,0,0,0,0,0,0,,0
um ano atrás,5,"Amo a Cakess, melhor bolo de São Paulo.",False,3,0,1,0,0,7,0,0,0,0,0,0,,0
um ano atrás,5,Ambiente agradável e qualidade dos doces muito boa,True,6,4,0,0,0,208,6,0,0,0,1,0,,0
um ano atrás,5,O ambiente é muito bacana e descontraído e os bolos são sensacionais! Altamente recomendável!!!,True,4,9,0,0,0,207,1,0,0,0,0,0,,0
um ano atrás,5,Comida deliciosa!! Serviço atencioso e impecável!!,False,2,0,0,0,0,7,0,0,0,0,0,0,,1
um ano atrás,5,"Fui fazer essa review e salivei desejando comer novamente esse bolinho de cenoura com a melhor cobertura de brigadeiro quentinha da vida!🤤 Ou seja, se você curte doce que nem eu, o Cakess é parada obrigatória!  Além disso, o atendimento é excelente, a decoração é uma graça, o espaço é bem amplo e ainda tem uma boa variedade de bolos e doces. Bom demais!  *atualizei com mais uma foto de sobremesa gostosona que provei esses dias🤤",True,211,11,413,43,0,307,2,0,1,0,6,0,,0
um ano atrás,5,null,False,2,1,0,0,0,8,0,0,0,0,0,0,,1
um ano atrás,5,Amo!!!,False,6,3,0,0,0,65,0,0,0,0,0,0,,0
um ano atrás,5,"Local maravilhoso! Funcionários educados e dispostos a ajudar, além dos pães incríveis!",True,29,49,0,0,0,255,0,0,0,0,0,3,,0
um ano atrás,1,"Tivemos uma péssima experiência. Ao chegarmos, demorou pra sermos atendidos. No atendimento, especificamos o que queríamos e, dentre os pedidos, estava o pão artesanal na chapa com requeijão ""entrada"" - o atendente, após longa demora, trouxe os pães sem a casquinha do requeijão dizendo terem ficado na chapa, se ""tudo bem""!? Oi? Como assim TD bem, né? Pedimos pra refazer, novamente veio com uma aparência nojenta, totalmente queimada. Tentamos comer, mas sem condições, o pão estava absolutamente encharcado com muita gordura. Reclamamos e o atendente, novamente, defendeu-se como sendo algo pessoal, mas não era... Ele afirmava que o pão era assim, que o requeijão era assim mesmo, que o queimado era assim também, etc.. afirmou que não tinha gordura no pão. Apertei e saiu muito, muito óleo na frente dele, daí ele revelou que colocam manteiga pra fixar o requeijão... Terrível!!!! Os cafés chegaram em menos da metade das xícaras, sabor bem ruim... E, o pedaço de bolo de côco estava tão doce que, no primeiro pedaço, deu uma azia desgramada em nós dois. Por dois cafés ruins, um pão na chapa horroroso, gorduroso, queimado e sem requeijão e um pedaço de bolo de côco extremamente doce pagamos quase R$ 50,00. Esse lugar, pra ficar ruim, tem que melhorar muito. O ""boteco/bar"" da esquina, ofereceria um pão na chapa muito melhor. Além de tudo isso relatado, os funcionários ficavam nos encarando e rindo muito o tempo todo. Nos sentimos constrangidos e JAMAIS desejaremos ou recomendaríamos um local como esse pra ninguém, nem pra um inimigo.",True,108,27,62,0,0,43,2,0,0,0,0,13,,0
um ano atrás,5,"Muito aconchegante e a comida nota 10, não tem nada que seja ruim lá",True,97,122,196,3,0,3755,0,0,1,0,16,5,,0
um ano atrás,5,Comida maravilhosa!,False,4,1,0,0,0,12,0,0,0,0,0,0,,0
um ano atrás,5,Ótimos doces!!!,null,null,null,null,null,null,null,null,null,null,null,null,null,https://www.google.com/maps/contrib/110931258410480816478?hl=pt-BR,0
um ano atrás,5,Otimo,False,3,2,0,0,0,38,0,0,0,0,0,0,,0
um ano atrás,5,Simplesmente maravilhoso!,False,1,4,0,0,0,10,0,0,0,0,0,0,,1
um ano atrás,5,Excelente! Bolo maravilhoso. Tostada de tomate com cogumelos excelente.,True,17,5,0,0,0,147,0,0,0,0,0,1,,0
um ano atrás,5,"Sensacional, sempre vou durante a tarde tomar um café e claro, saborear o bolo de cenoura vulcão",False,8,0,0,0,0,7,0,0,0,0,0,0,,1
um ano atrás,5,Maravilhosa!! A melhor de São Paulo! Recomendo o especial da chefe,False,4,1,0,0,0,18,0,0,0,0,0,0,,0
um ano atrás,5,Tudo maravilhoso! Doces maravilhosos e um bolo gelado de coco com sabor de infância!!!,True,167,21,1579,18,0,2247,0,0,0,0,15,10,,0
um ano atrás,5,null,True,14,1,5,0,0,122,0,0,0,0,0,0,,0
um ano atrás,5,"Lugar maravilhoso, muitas opções.",False,11,39,0,0,0,25,0,0,0,0,0,0,,0
um ano atrás,5,"A melhor confeitaria de São Paulo! O Brunch deles é surreal! Porções justas, pratos lindos e saborosos! Ambiente extremante agradável!! Quem vai, vira fã! Irei mais vezes com minha família!",False,2,0,0,0,0,7,0,0,0,0,0,0,,1
um ano atrás,5,"Comida incrivelmente boa com adendo para os bolos, doce na medida certa e muito saboroso",True,19,11,4,0,0,82,2,0,0,0,0,0,,0
um ano atrás,1,null,False,0,1,0,0,0,3,0,0,0,0,0,0,,1
um ano atrás,1,null,True,36,30,0,0,0,13,0,0,0,0,0,0,,0
um ano atrás,5,null,True,35,36,40,0,0,11,0,0,0,0,0,2,,0
um ano atrás,5,null,True,201,367,593,48,0,714,1,0,2,0,52,63,,0
um ano atrás,5,"Estava tudo delicioso. Queijo quente perfeito. Chocolate quente muito bom. E a fatia do bolo de casadinho sensacional, bem equilibrado.",True,7,67,40,0,0,668,0,0,0,0,0,0,,0
um ano atrás,4,null,True,0,99,0,0,0,230,0,0,0,0,0,0,,0
um ano atrás,4,null,False,2,13,0,0,0,0,0,0,0,0,0,0,,1
um ano atrás,5,"Lugar maravilhoso. O Atendimento do Daian foi excepcional, super atencioso. Todas vez que almoço na Cakess sou super bem atendida por ele. Excelente profissional.",False,1,0,0,0,0,0,0,0,0,0,0,0,,1
um ano atrás,5,"Daian nos tratou com eficiência e rapidez. A Cakess tem uma comida muito gostosa, principalmente as tortas!",True,1,0,0,0,0,0,0,0,0,0,0,0,,1
um ano atrás,5,"É um lugar pequeno, bonito, aconchegante e confortável, atendentes gentis, e os bolos e cookies muito lindos, que dá vontade de experimentar tudo. Os bolos que pedi com minha amiga, estavam excelentes, doce na medida certa. Deu água na boca escrevendo essa avaliação, querendo comer novamente lá. Café estava ótimo também. Recomendo para ter café da tarde com doces incríveis. Quero voltar para experimentar outros doces.",True,76,0,384,1,0,192,3,0,0,0,0,0,,0
um ano atrás,5,Cliente desde o primeiro dia ! Amo tudooooo,False,25,1,1,0,0,22,0,0,0,0,0,0,,0
um ano atrás,5,"Achei o lugar muito lindo, charmoso e organizado",True,223,22,929,18,1,640,0,0,0,0,9,5,,0
um ano atrás,5,"Fui conferir o Breakfast Weekend. Pedi um dos combos. O ambiente é bem descontraído, comida boa e atendimento muito bom!",True,48,166,288,47,1,1787,0,0,0,0,0,3,,0
um ano atrás,4,null,False,8,7,4,0,0,70,0,0,0,0,0,0,,0
um ano atrás,4,"Lugar muito bonito. Ótima infraestrutura. Vitrine muito bonita e comidas pra comer com os olhos. Atendimento deu uma leve vacilada, mas nada que desabone muito. Os clientes só tomam ciência, de forma bem explícita, sobre a taxa de 10,99% caso peçam a nota fiscal.  De 0 a 5  *Infraestrutura do Local: 5 *Ambiente e Climatização: 4 *Decoração e Arquitetura: 5 *Atendimento e Serviço Prestado: 4 *Preços dos Produtos ou Serviços: 3 *Qualidade dos Produtos ou Serviços: 5 *Variedade dos Produtos ou Serviços: 5 *Recomendado: SIM",False,398,602,1963,413,0,3839,69,0,49,0,5,15,,0
um ano atrás,5,"Eu adoro a Cakess! Ótimos doces, ótimos preços, ótimo atendimento e ótimo ambiente! Uma loja confortável, com doces excelentes a preços justíssimos. Meu favorito eterno é o bombom de morando, que leva um morango GIGANTE com brigadeiro branco e uma casca de chocolate ao leite ao redor. Maravilhoso! Os bolos de pote são ótimos também, em especial o de Oreo, e o café é muito bom, perfeito para acompanhar as coisas mais açucaradas. Recomendo!",True,281,154,4885,632,0,2254,146,0,21,0,204,7,,0
um ano atrás,5,"Achei charmoso o lugar, Atendimento bom, doce e frape de ovomaltine deliciosos.",True,34,8,25,1,0,298,0,0,0,0,0,0,,0
um ano atrás,5,"Fui conhecer o Cakess indicada por uma amiga.  Adorei o lugar,  e os  doces. Fui acompanhada e comemos o bolo de 4 leites, o limone, o bolo brigadeiro com morango, além da limonada Spritz. Tudo muito saboroso,  valeu a pena a visita. E pra completar o atendimento primoroso da dona, a Gabi, que foi super atenciosa conosco. Que experiência incrível!",False,56,5,0,0,0,21,0,0,0,0,0,0,,0
um ano atrás,5,"Sou confeiteira e sempre quis conhecer o local (geralmente experimento com paladar crítico pois existe muita coisa ruim por aí com nome). Experimentei o cookie de limão com marshmallow (DELICIOSO) Obviamente doce, alguém já viu marshmallow sem ser doce RS? Mas o limão equilibra perfeitamente e ficou incrível. Experimentei também o café gelado INCRÍVEL, um dos melhores que provei sendo fã de café ❤️ Pra viagem levei o famoso bolo de Nutella crocante que é impecável, úmido na medida certa (afinal, é bolo e não TORTA né?) a mistura da Nutella com chocolate meio amargo e a crocância, além de equilibrar,criam uma experiência especial para o paladar. E por fim e não menos importante: banoffe! Zero enjoativo, o chantilly é super Levinho e suaviza o doce de leite! Vale super a pena ❤️",True,17,0,9,0,0,16,15,0,0,0,0,0,,0
um ano atrás,5,Melhor doceria! Atendimento nota mil!,False,2,0,0,0,0,6,0,0,0,0,0,0,,0
um ano atrás,5,null,True,8,47,0,0,0,317,1,0,4,0,0,0,,0
um ano atrás,5,"Cakess é praticamente uma religião aqui em casa… São os melhores doces de SP, de longe! O bolo de chocolate é doce na medida, o de cenoura com brigadeiro é molhadinho e o red velvet é o melhor que já comi - já virou obrigatório nos aniversários da família e ouço reclamações quando mudo de sabor. Os cookies também são um show à parte. A comida também não decepciona: os ovos rancheiros são meus preferidos! O molho é uma delícia. Minha única queixa é não ter uma Cakess aqui em Perdizes! Kkkk",True,11,1,6,0,0,9,1,0,0,0,0,0,,0
um ano atrás,5,"Atendimento excelente, comida deliciosa e doces divinos! Se pedir, chega impecável!",True,5,41,0,0,0,663,0,0,0,0,0,0,,0
um ano atrás,5,Os melhores bolos que eu já comi na vida! Quem come Cakess nunca mais esquece!!,False,7,0,0,0,0,22,0,0,0,0,0,0,,1
um ano atrás,5,Doces maravilhosos e um atendimento sempre muito atencioso e carinhoso. Sou fã desde a primeira vez! ❤️,True,4,36,0,0,0,936,0,0,0,0,0,0,,0
um ano atrás,5,A melhor doceria de São Paulo. Simples assim.,False,6,3,0,0,0,78,0,0,0,0,0,0,,0
um ano atrás,5,null,False,1,1,0,0,0,10,0,0,0,0,0,0,,1
um ano atrás,5,null,False,0,1,0,0,0,3,0,0,0,0,0,0,,1
um ano atrás,5,Um ótimo lugar para se reunir com os amigos! Café da manhã maravilhoso! Melhores doces de São Paulo!!! Nosso bolo de casamento será deles!!!,False,1,0,0,0,0,7,0,0,0,0,0,0,,1
um ano atrás,5,Os doces são divinos e a comida maravilhosa!!! Sempre com muito capricho e carinho. Não há evento em casa sem Cakess e confesso alguns lanchinhos da tarde tb 🥰,False,1,1,0,0,0,6,0,0,0,0,0,0,,0
um ano atrás,5,"Sou cliente fiel da Cakess desde o começo e seus bolos e doces nunca faltam em nossas festas. Bolos molhadinhos, bem recheados e lindos. A casinha é acolhedora, linda e tem a essência dos donos que são pessoas incríveis. O brunch é espetacular, com opções variadas e bem servidas. Destaque para os bolos de brigadeiro com morongo, doce de leite com nozes e pistache, brigadeiro brulle e o tradicional, banoffe, brownie, bombom de morango e uva. Maravilhosos!",False,6,0,0,0,0,35,0,0,0,0,0,0,,0
um ano atrás,5,null,False,0,2,0,0,0,7,0,0,0,0,0,0,,1
um ano atrás,5,"Um lugar muito aconchegante,com muitas delícias.",False,1,1,0,0,0,9,0,0,0,0,0,0,,1
um ano atrás,5,"Comida gostosa, bem feita e os bolos... ahhh, os bolos são surpreendentes e incríveis. Fora que as pessoas são educadas e queridas. Adoro e sempre que estou perto, passo la!",True,17,4,3,0,0,78,0,0,0,0,0,0,,0
um ano atrás,5,Sempre conseguem superar as expectativas.  Uma evolução constante. Parabéns!!!,True,8,5,0,0,0,48,0,0,0,0,0,0,,0
um ano atrás,5,Nunca faltam doces e bolos da Cakess nas nossas comemorações! Valoriza muito a nossa região! O grande diferencial são os olhos atentos dos proprietários Lê e Gabi que prezam muito pela qualidade dos produtos e serviços!,True,26,8,3,0,0,474,2,0,1,0,0,1,,0
um ano atrás,5,"Excelente localização, ambiente lindo e instagramável, pet friendly, atendimento impecável, variedades no cardápio, preço justo e simplesmente os melhores doces! (Mas vale provar os pratos salgados e as bebidas tb!) Um dos meus lugares favoritos da vida!",True,6,1,14,0,0,12,0,0,0,0,0,0,,0
um ano atrás,5,"Bolos e doces maravilhosos, almoço executivo excelente, brunch dos deuses. O ambiente é lindo e instagramável. E quando peço em casa, chega com embalagens ótimas e com muito capricho. Nota 1000!! Gabi e Leandro arrasam!",False,4,0,1,0,0,3,0,0,0,0,0,0,,1
um ano atrás,5,null,False,1,1,0,0,0,5,0,0,0,0,0,0,,1
um ano atrás,5,null,False,3,5,5,0,0,10,0,0,0,0,0,0,,1
um ano atrás,5,"Doces incríveis e brunch delicioso! Atendimento e lugar incríveis para qqr ocasião,  desde um home office até evento!",False,6,5,0,0,0,26,0,0,0,0,0,0,,1
um ano atrás,5,"Ambiente lindo, serviço de primeira e a comida… que coisa maravilhosa! Simplesmente a melhor de SP!",False,4,0,1,0,0,7,0,0,0,0,0,0,,0
um ano atrás,5,"Além do lugar ser lindo, os doces são deliciosos. Mas vale tbm pedir os salgados. A torta de frango é das minhas preferidas da vida",True,20,1,0,0,0,112,2,0,0,0,0,0,,0
um ano atrás,5,"Minha confeitaria preferida em SP. Gosto de absolutamente tudo que eles fazem, dos brigadeiros aos bolos e entremets. O atendimento é excelente e a casa é muito linda! No segundo andar tem uma janelinha que dá pra um por do sol maravilhoso tb. Cakess é tudo que as confeitarias deveriam ser ❤️",False,11,0,0,0,0,17,0,0,0,0,0,0,,1
um ano atrás,1,"Local expandiu porém não se preparou para o crescimento… Operação ruim, atendimento confuso, correria e agitação ao atender a mesa… Preocupante!",False,3,1,0,0,0,17,0,0,0,0,0,1,,0
um ano atrás,2,"Eu fui conhecer a Cakess semana passada. Fomos bem atendidos, vi bastante influencers falando dos bolos (já tinha que ter ficado alerta) e chegando lá, vimos bastante opções de bolo conforme as fotos. Pedimos 3 pedaços de bolo, 3 brigadeiros e 1 água. Os pedaços são bem servidos mas achei 2 deles bem secos.  Um deles que é de chocolate meio amargo é realmente bem molhadinho. O de Nutella e o Casadinho estavam bem secos dentro. Pelo menos eu achei seco e não gostei. Comentei ao final para o garçom e ele informou que a dona do local poderia explicar, ela experimentou e não achou seco. Ok, são opiniões. Achei bem seco o de casadinho. Faltou molhar mais o pao de ló. Até pedi pra ele esquentar, mas não resolveu não. Enfim, não gostei da atitude um pouco arrogante da dona. O local cobra taxa de serviço e os preços achei um pouco caros, Brigadeiro pequeno a 4,00.  O ambiente achei pequeno, mas como casa de bolo, é bonita a decoração. É uma casa antiga adaptada para Casa de Bolos.  Local difícil de achar vaga, os estacionamentos da região fecham cedo no sábado. Somente o estacionamento da frente fica aberto.",True,56,0,232,3,5,142,3,0,0,0,19,14,,0
um ano atrás,5,null,False,0,4,0,0,0,5,0,0,0,0,0,0,,1
um ano atrás,5,null,False,0,1,0,0,0,6,0,0,0,0,0,0,,1
um ano atrás,5,"Bolos incríveis, com sabor inexplicável.",False,1,0,0,0,0,6,0,0,0,0,0,0,,1
um ano atrás,5,null,True,1,1,0,0,0,6,0,0,0,0,1,0,,1
um ano atrás,5,❤️,True,25,11,9,0,0,225,0,0,0,0,0,1,,0
um ano atrás,5,null,True,4,2,1,0,0,9,0,0,0,0,0,0,,1
um ano atrás,3,"Fatia de bolo simples a 20 reais. Os atendentes são excelentes, lugar interessante, mas pelo preço esperava mais dos doces. O purê de batata estava saboroso, os legumes nem tanto, mas o preço do prato estava mais condizente.",True,69,19,118,1,1,13,2,0,3,0,1,1,,0
um ano atrás,5,Ambiente maravilhoso!!!,True,28,2,25,0,0,42,0,0,0,0,1,0,,0
um ano atrás,5,Experiência Maravilhosa!! Tudo delicioso 🫶,True,8,1,7,0,0,56,0,0,0,0,0,0,,1
um ano atrás,1,"Sou do RJ e fui a SP comemorar o aniversário de uma pessoa muito especial que estava completando uma idade muito especial. Encomendei um bolo e, por incrível que pareça, solicitei atenção à ortografia. Sou extremamente traumatizado e precavido. Me pareceu que fizeram errado de propósito, porque quando fui reclamar o proprietário deu um show de arrogância e prepotência. A fama subiu à cabeça e a humildade sumiu! Um amigo que havia me recomendado a loja pediu para eu relevar a situação, dizendo que tinha sido algo pontual. Um tempo depois aconteceu situação parecida com ele também.",True,39,0,4,0,0,26,0,0,0,0,0,0,,0
um ano atrás,3,"Visitei três vezes.  Na primeira tinha muita expectativa de q seria uma ótima experiência. Comi um bolo de chocolate que achei bom (nota 4.5 de 5), mas nada de especial. Estava úmido na medida certa, tinha várias camadas fininhas de recheio. Peguei para viagem bolo gelado de coco, e ele estava super seco! Ainda bem que foi pra viagem, pois pude salvá-lo colocando (muito) leite para deixá-lo molhado como deveria ser (observação: ele não vem embrulhado em papel alumínio). Mesmo assim, o bolo não tinha nada especial em termos de sabor (já fiz e já comi melhores). Esse eu daria nota 2.5 de 5.  Na segunda visita fui para almoçar, pedi a massa com molho carbonara. Muito boa! Bem servida de bacon! Nota 4.5 de 5. Depois subi para comer um bolinho de cenoura com cobertura de chocolate. Achei a cobertura muito doce para o meu gosto, mas ok. Nota 4 de 5.  Na terceira, pedi um bolo de 3 leites (acho que era esse nome), por influência dos comentários positivos que li no Instagram. Mas novamente veio um bolo seco! E achei o sabor do recheio um pouco estranho e sem graça. A cobertura estava boa, mas vem bem ralinha. A fatia era bem fininha, quase metade da fatia do bolo de chocolate que pedi na primeira visita. Nota 3 de 5.  Sobre o serviço: nas duas primeiras visitas achei o atendimento muito bom, bem atenciosos. Já na terceira visita o rapaz que me serviu parecia que queria se livrar de mim o mais rápido possível (só tinha eu de cliente no local, horário pós almoço, por volta das 13h numa sexta-feira). Mal terminei a bolo, estava limpando a boca com guardanapo, e ele já estava tirando o prato da mesa e falando que era só pedir a conta que ele traria na mesa.  Detalhe: o local cobra taxa de serviço.  Preços: se melhorar os bolos (o principal defeito é o bolo ser seco) diria que o preço é compatível.  Em resumo: o lugar tem potencial, mas precisa melhorar um pouco nos doces e ficar de olho no atendimento.  Voltaria? Só pra almoçar. Cansei de dar chance aos doces...",True,62,210,228,0,0,2006,1,0,0,0,0,0,,0
um ano atrás,5,"Refeições a la carte variadas e bem gostosas. Preço entre R$30 e R$50 para pratos individuais. Aceita ticket. Ótimo ambiente, bem arejado com boa decoração. O atendimento foi eficiente, mas um pouco demorado.",True,33,1,49,2,1,113,1,0,0,0,0,0,,0
um ano atrás,5,Ótima,False,55,17,0,0,0,36,0,0,0,0,0,0,,0
um ano atrás,5,Melhor bolo de SP! Nutella crocante é original e deliciosoooo,True,4,15,0,0,0,30,0,0,0,0,0,0,,0
um ano atrás,5,Foi amor à primeira garfadaaa!! Recomendo muito provarem o bolo folhado com recheio de Nutella!! Perfeito!!!,False,5,0,0,0,0,14,0,0,0,0,0,0,,1
um ano atrás,5,Impecavel!,True,34,2,40,0,0,46,1,0,1,0,0,0,,0
um ano atrás,5,null,False,3,1,0,0,0,13,0,0,0,0,0,0,,1
um ano atrás,5,"A Cakess é espetacular e nunca decepciona! Com atendentes super atenciosos, entrega o que promete: pratos maravilhosos e doces incríveis. Recomendo os ovos rancheiros, o bolo vulcão de cenoura e o bolo casadinho!",False,9,0,7,0,0,17,0,0,0,0,0,0,,0
um ano atrás,5,"Os doces são sensacionais, voce pode escolher qualquer um, será sempre delicioso. Ainda tem os pratos quentes que são ótimos. Sugiro o café coado e um bolo ganache de chocolate meio amargo. Boa opção de passeio perto da Paulista.",True,4,5,0,0,0,25,0,0,0,0,0,0,,0
um ano atrás,5,null,True,5,3,2,0,0,19,0,0,0,0,1,1,,0
um ano atrás,5,Tudo é muito top,False,3,0,0,0,0,12,0,0,0,0,0,0,,1
um ano atrás,5,null,True,2,16,0,0,0,21,0,0,0,0,0,0,,1
um ano atrás,5,null,True,126,22,14,4,0,421,0,0,0,0,0,0,,0
um ano atrás,5,"Local muito agradável, bons produtos, excelente atendimento, fácil acesso",True,478,22,70,0,0,834,0,0,1,0,0,25,,0
um ano atrás,5,"Lugar muito bonito, aconchegante. Funcionários super simpáticos, todos sempre me atenderam perfeitamente bem. Os bolos são nota mil, os preços estão dentro do padrão do lugar, do bairro, vale o que se paga. Louça impecável. Apresentação magnífica.  Percebe-se que houve um bom investimento na decoração, ainda mais hoje em dia que as pessoas querem fazer sempre muitos posts, a imagem é tudo. Esse lugar acertou em cheio, vocês são nota 10!",True,577,7,7044,335,5,1222,1,0,1,0,5,14,,0
um ano atrás,4,Bom lugar pra uma sobremesa ou um almoço leve. Atendimento amigável. Opções de chás e tortas salgadas muito boas também. Com certeza vale a visita.,True,99,1,308,0,0,387,2,0,0,0,0,0,,0
um ano atrás,5,"Tudo muito gostoso, as taças sao deliciosas.",True,13,7,9,0,0,18,0,0,0,0,0,0,,0
um ano atrás,5,Tudo muito bom mas é caro,True,93,43,30,2,0,51,0,0,0,0,0,6,,0
um ano atrás,5,null,False,3,50,0,0,0,11,0,0,0,0,0,0,,0
um ano atrás,5,"Visitei para experimentar o merengue, mas são tantas opções que fiquei tentada a fugir do roteiro. Ainda bem que não fugi! O merengue estava delicioso, equilíbrio do doce do suspiro e o morango, nada enjoativo, do jeito que eu gosto. O café foi um ótimo acompanhamento para a sobremesa. Ótimo ambiente, bem iluminado, trilha sonora calma e atendimento ágil.",True,65,0,208,8,0,335,2,0,0,0,0,0,,0
um ano atrás,5,Ambiente super agradável para se tomar um cafe,True,67,2,88,7,2,345,1,0,1,0,0,0,,0
um ano atrás,2,"Pedi uma fatia de bolo Nutella crocante: não é Nutella! Pode ser brigadeiro, chocolate ou qualquer outro similar, mas Nutella não é! Nem no sabor e nem na consistência.",True,7,12,26,0,0,7,8,0,1,0,0,0,,0
um ano atrás,5,"Lugar lindo, comida excelente, e ótimo atendimento. Aceita reservas. Tivemos uma ótima experiência no breakfest weekend. Experiente as panquecas, bolo vulcao, ovos benedict e avocato toast.  Tudo maravilhoso!",True,98,38,145,1,0,980,2,0,5,0,0,2,,0
um ano atrás,4,"Melhor bolinho de chocolate ""browie"" de Sao Paulo! Ha! Tudo la é  bom. Cafe  doces, salgados, ambiente, atendimento etc",False,43,20,0,0,0,520,0,0,0,0,0,0,,0
um ano atrás,5,Eu amo esse lugar. Os doces!! ❤️❤️,False,16,17,0,0,0,7,0,0,0,0,0,1,,1
um ano atrás,5,null,False,3,18,0,0,0,38,0,0,0,0,0,0,,0
um ano atrás,5,null,False,15,8,1,0,0,3,0,0,0,0,0,0,,1
um ano atrás,1,"Atendimento demorado, confuso! Para um cafe e uma bola de sorvete demorou 40 minutos! Inaceitável.",False,5,3,6,0,0,7,6,0,0,0,0,4,,0
um ano atrás,5,"Este lugar é maravilhosoooo. Tem doces maravilhosos, Cookie de Red Velvet. Bolo de pistache, chocolate... Serve refeições também.  Tem um amplo ambiente para sentar e se delicia com as gostosuras desse local. Tem diversos tipos de café... Recomendadissimo",True,332,2,1304,16,5,2583,2,0,5,0,0,4,,0
um ano atrás,5,null,True,44,57,35,0,0,57,0,0,0,0,3,3,,0
um ano atrás,5,Perfeita!,True,112,8,137,3,0,618,2,0,5,0,0,8,,0
um ano atrás,5,"Primeira vez na casa e gostei da experiência. Ótimo atendimento mesmo com a casa bem movimentada. Experimentei o ganache de chocolate meio amargo e o bolo gelado de coco. Ambos muito bons. Continuem assim, terão muito sucesso!!!",True,40,1,2,0,0,54,0,0,0,0,1,0,,0
um ano atrás,5,"Ótimo! Um dos nossos favoritos quando o assunto é  bolos e doces, mas o almoço tambem surpreendeu e muito. Pedimos 2 pratos: Lasanha de abobrinha e beringela com creme bechamel, e o risoto de abóbora com carne seca na cerveja. Ambos uma delícia 😋 De sobremesa pedimos a torta de palha italiana e bolo de chocolate meio amargo (também delíciosos). Ambiente muito bonito e são pet friendly. Recomendo!",True,659,28,2844,780,6,8958,26,0,15,0,0,16,,0
um ano atrás,5,Doces irresistíveis... não passem nem perto pois a tentação é grande. 🤭😋😉,True,114,2,2,0,0,110,0,0,0,0,0,2,,0
um ano atrás,5,null,True,9,96,11,0,0,24,0,0,0,0,0,0,,0
um ano atrás,5,O toast de figo estava excelente! E o bolo bem casado muito gostoso e a fatia é bem generosa! Da até pra dividir. O ambiente é agradável e o atendimento é muito atencioso ao cliente. Recomendo demais e certeza que irei voltar.,False,8,10,0,0,0,36,0,0,0,0,0,0,,0
um ano atrás,5,null,True,116,243,305,1,0,2215,2,0,0,0,32,3,,0
um ano atrás,5,null,True,8,69,2,1,0,156,0,0,0,0,17,0,,0
um ano atrás,5,null,True,5,176,4,0,0,394,0,0,0,0,2,1,,0
um ano atrás,5,"o melhor bolo do mundo. Melhor recheio, melhor sabor, melhor qualidade. Viajo o Brasil inteiro, e até agora não achei  nenhum  sabor igual a cakes. Basta experimentar.  Recomendo",False,3,0,0,0,0,6,0,0,0,0,0,0,,0
um ano atrás,1,Fui duas vezes ao estabelecimento . A primeira foi uma longa demora para receber meu pedido . A segunda vez confundiram o meu pedido e me entraram errado.  Só fui tomar conta quando já estava longe da confeitaria. Decepcionada de verdade,False,3,0,0,0,0,9,0,0,0,0,0,0,,0
um ano atrás,5,"Considero como a melhor cafeteria da região, os docinhos e bolos são maravilhosos e fizeram parte do meu casamento, o bolo ficou lindo e todos adoraram, estava bemmm recheado! Sempre peço os docinhos do cakess, o atendimento e a qualidade dos produtos é impecável!",True,11,9,3,0,0,6,0,0,0,0,0,0,,0
um ano atrás,5,"Ainda não tive oportunidade de conhecer a loja pessoalmente, sempre peço pelo ifood e eu amo o bolo de casadinho e o chocotone de brigadeiro da Cakees. Deliciosos e de muita qualidade, ja entrei em contato por telefone com eles também e o atendimento foi muito cordial. Que continuem sempre assim com essa qualidade maravilhosa.",True,35,8,27,0,0,361,14,0,0,0,93,0,,0
um ano atrás,5,"INCRIVEIS! melhor bolo, pedimos toda semana no escritório 🤍 continuem assim!",False,11,5,0,0,0,20,3,0,0,0,0,0,,0
um ano atrás,4,"Ótimo local para café da manhã! Bonito e arrumadinho. Staff gentil, ótimos pães e bolos.",True,632,115,118,1,0,1146,1,0,1,0,0,1,,0
um ano atrás,5,Perfeito!!,True,7,17,0,0,0,103,1,0,0,0,0,0,,0
um ano atrás,5,null,False,1,13,0,0,0,31,0,0,1,0,0,0,,0
